Category,Polarity,Words
TONE,POSITIVE,admiring
TONE,POSITIVE,adoring
TONE,POSITIVE,affectionate
TONE,POSITIVE,appreciative
TONE,POSITIVE,approving
TONE,POSITIVE,bemused
TONE,POSITIVE,benevolent
TONE,POSITIVE,blithe
TONE,POSITIVE,calm
TONE,POSITIVE,casual
TONE,POSITIVE,celebratory
TONE,POSITIVE,cheerful
TONE,POSITIVE,comforting
TONE,POSITIVE,comic
TONE,POSITIVE,compassionate
TONE,POSITIVE,complimentary
TONE,POSITIVE,conciliatory
TONE,POSITIVE,confident
TONE,POSITIVE,contented
TONE,POSITIVE,delightful
TONE,POSITIVE,earnest
TONE,POSITIVE,ebullient
TONE,POSITIVE,ecstatic
TONE,POSITIVE,effusive
TONE,POSITIVE,elated
TONE,POSITIVE,empathetic
TONE,POSITIVE,encouraging
TONE,POSITIVE,euphoric
TONE,POSITIVE,excited
TONE,POSITIVE,exhilarated
TONE,POSITIVE,expectant
TONE,POSITIVE,facetious
TONE,POSITIVE,fervent
TONE,POSITIVE,flippant
TONE,POSITIVE,forthright
TONE,POSITIVE,friendly
TONE,POSITIVE,funny
TONE,POSITIVE,gleeful
TONE,POSITIVE,gushy
TONE,POSITIVE,happy
TONE,POSITIVE,hilarious
TONE,POSITIVE,hopeful
TONE,POSITIVE,humorous
TONE,POSITIVE,interested
TONE,POSITIVE,introspective 
TONE,POSITIVE,jovial
TONE,POSITIVE,joyful
TONE,POSITIVE,laudatory
TONE,POSITIVE,light
TONE,POSITIVE,lively
TONE,POSITIVE,mirthful
TONE,POSITIVE,modest
TONE,POSITIVE,nostalgic
TONE,POSITIVE,optimistic
TONE,POSITIVE,passionate
TONE,POSITIVE,placid
TONE,POSITIVE,playful
TONE,POSITIVE,poignant
TONE,POSITIVE,proud
TONE,POSITIVE,reassuring
TONE,POSITIVE,reflective
TONE,POSITIVE,relaxed
TONE,POSITIVE,respectful
TONE,POSITIVE,reverent
TONE,POSITIVE,romantic
TONE,POSITIVE,sanguine
TONE,POSITIVE,scholarly
TONE,POSITIVE,self-assured 
TONE,POSITIVE,sentimental
TONE,POSITIVE,serene
TONE,POSITIVE,silly
TONE,POSITIVE,sprightly
TONE,POSITIVE,straightforward
TONE,POSITIVE,sympathetic
TONE,POSITIVE,tender
TONE,POSITIVE,tranquil
TONE,POSITIVE,whimsical
TONE,POSITIVE,wistful
TONE,POSITIVE,worshipful
TONE,POSITIVE,zealous
MOOD,POSITIVE,amused
MOOD,POSITIVE,awed
MOOD,POSITIVE,bouncy
MOOD,POSITIVE,calm
MOOD,POSITIVE,cheerful
MOOD,POSITIVE,chipper
MOOD,POSITIVE,confident
MOOD,POSITIVE,contemplative
MOOD,POSITIVE,content
MOOD,POSITIVE,determined
MOOD,POSITIVE,dignified
MOOD,POSITIVE,dreamy
MOOD,POSITIVE,ecstatic
MOOD,POSITIVE,empowered
MOOD,POSITIVE,energetic
MOOD,POSITIVE,enlightened
MOOD,POSITIVE,enthralled
MOOD,POSITIVE,excited
MOOD,POSITIVE,exhilarated
MOOD,POSITIVE,flirty
MOOD,POSITIVE,giddy
MOOD,POSITIVE,grateful
MOOD,POSITIVE,harmonious
MOOD,POSITIVE,hopeful
MOOD,POSITIVE,hyper
MOOD,POSITIVE,idyllic
MOOD,POSITIVE,joyous
MOOD,POSITIVE,jubilant
MOOD,POSITIVE,liberating
MOOD,POSITIVE,light-hearted
MOOD,POSITIVE,loving
MOOD,POSITIVE,mellow
MOOD,POSITIVE,nostalgic
